S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
22,2026-01-01,"1,202.10","1,222.00","1,196.00","1,197.00",-1.85,"7,083.00","8,545,388.60"
23,2025-12-31,"1,205.00","1,220.00","1,200.50","1,219.50",1.20,"6,880.00","8,323,447.00"
24,2025-12-29,"1,229.00","1,229.00","1,205.00","1,205.00",-1.95,"6,814.00","8,262,807.20"
25,2025-12-28,"1,212.00","1,229.00","1,200.00","1,229.00",0.90,"5,210.00","6,308,312.00"
26,2025-12-24,"1,211.00","1,218.00","1,196.60","1,218.00",-0.08,"4,903.00","5,895,791.30"
27,2025-12-23,"1,215.00","1,246.00","1,181.00","1,219.00",1.75,"6,983.00","8,394,248.50"
28,2025-12-22,"1,201.00","1,214.90","1,191.40","1,198.00",-1.32,"8,009.00","9,606,826.40"
29,2025-12-21,"1,220.00","1,230.00","1,195.00","1,214.00",-1.14,"11,718.00","14,140,257.80"
30,2025-12-18,"1,234.10","1,249.00","1,228.00","1,228.00",-1.13,"9,060.00","11,184,746.10"
31,2025-12-17,"1,255.00","1,279.00","1,242.00","1,242.00",-1.34,"9,939.00","12,442,578.10"
32,2025-12-16,"1,265.90","1,289.00","1,228.00","1,258.90",1.43,"8,504.00","10,643,744.00"
33,2025-12-15,"1,249.90","1,287.90","1,221.00","1,241.10",0.25,"13,421.00","16,690,397.50"
34,2025-12-14,"1,255.00","1,319.00","1,235.00","1,238.00",-2.52,"17,195.00","21,666,081.20"
35,2025-12-11,"1,295.00","1,309.00","1,268.00","1,270.00",-1.93,"8,814.00","11,293,584.30"
36,2025-12-10,"1,280.00","1,315.00","1,276.30","1,295.00",0.08,"10,910.00","14,143,580.00"
37,2025-12-09,"1,270.00","1,305.00","1,270.00","1,294.00",1.49,"19,989.00","25,869,492.40"
38,2025-12-08,"1,255.40","1,297.00","1,255.40","1,275.00",-0.39,"24,023.00","30,812,349.40"
39,2025-12-07,"1,255.00","1,301.70","1,255.00","1,280.00",1.35,"25,013.00","32,108,829.60"
40,2025-12-03,"1,257.50","1,308.00","1,240.00","1,263.00",0.40,"9,786.00","12,423,872.50"
41,2025-12-02,"1,247.00","1,260.00","1,246.00","1,258.00",-0.08,"4,265.00","5,339,320.80"
42,2025-12-01,"1,279.70","1,279.70","1,240.10","1,259.00",-0.08,"7,242.00","9,044,608.00"
43,2025-11-30,"1,255.00","1,279.90","1,249.00","1,260.00",0.39,"13,614.00","17,224,313.70"
44,2025-11-27,"1,280.00","1,284.90","1,246.00","1,255.10",-0.70,"14,446.00","18,207,976.40"
45,2025-11-26,"1,282.50","1,290.00","1,263.00","1,264.00",-1.40,"11,460.00","14,539,615.70"
46,2025-11-25,"1,280.00","1,300.00","1,260.20","1,282.00",-1.16,"10,842.00","13,865,728.70"
47,2025-11-24,"1,302.00","1,349.00","1,261.00","1,297.00",1.33,"16,923.00","21,955,689.30"
48,2025-11-23,"1,250.00","1,295.20","1,242.00","1,280.00",2.40,"16,058.00","20,514,247.10"
49,2025-11-20,"1,217.00","1,259.00","1,217.00","1,250.00",1.21,"19,628.00","24,462,680.00"
50,2025-11-19,"1,240.00","1,254.00","1,211.10","1,235.00",-0.87,"3,670.00","4,490,258.50"
51,2025-11-18,"1,213.00","1,256.90","1,213.00","1,245.90",0.72,"7,048.00","8,702,306.40"
52,2025-11-17,"1,249.00","1,249.00","1,210.00","1,237.00",1.00,"5,303.00","6,506,403.70"
53,2025-11-16,"1,238.20","1,238.20","1,203.00","1,224.80",-1.08,"4,716.00","5,730,791.60"
54,2025-11-13,"1,214.00","1,238.20","1,181.10","1,238.20",1.93,"15,129.00","18,162,283.90"
55,2025-11-12,"1,206.00","1,254.00","1,180.00","1,214.80",-1.24,"13,778.00","16,531,453.20"
56,2025-11-11,"1,216.00","1,289.00","1,216.00","1,230.00",-0.81,"5,804.00","7,137,917.80"
57,2025-11-10,"1,230.00","1,259.00","1,212.00","1,240.00",0.02,"8,662.00","10,674,662.00"
58,2025-11-09,"1,295.70","1,299.20","1,239.80","1,239.80",-4.47,"14,513.00","18,272,029.40"
59,2025-11-06,"1,325.00","1,325.00","1,280.00","1,297.80",-0.55,"14,470.00","18,697,315.40"
60,2025-11-05,"1,300.00","1,378.00","1,276.10","1,305.00",0.38,"12,601.00","16,495,243.10"
61,2025-11-04,"1,340.00","1,340.00","1,300.00","1,300.00",-2.62,"19,829.00","26,004,988.90"
62,2025-11-03,"1,420.00","1,420.00","1,322.20","1,335.00",-5.92,"33,686.00","45,030,980.20"
63,2025-11-02,"1,340.00","1,419.00","1,300.00","1,419.00",7.91,"50,755.00","66,879,913.70"
64,2025-10-30,"1,285.00","1,345.00","1,254.50","1,315.00",1.23,"36,448.00","47,626,780.40"
65,2025-10-29,"1,355.00","1,360.00","1,290.00","1,299.00",-2.62,"24,326.00","32,348,618.00"
66,2025-10-28,"1,253.50","1,340.00","1,229.00","1,334.00",4.30,"37,147.00","48,270,081.40"
67,2025-10-26,"1,230.00","1,279.00","1,186.00","1,279.00",5.70,"15,146.00","18,322,155.90"
68,2025-10-19,"1,240.00","1,250.00","1,207.50","1,210.00",-1.71,"13,118.00","16,144,960.50"
69,2025-10-16,"1,280.00","1,299.00","1,205.50","1,231.10",-4.19,"25,135.00","31,190,642.70"
70,2025-10-15,"1,264.00","1,289.00","1,218.00","1,285.00",3.62,"33,783.00","42,653,951.50"
71,2025-10-14,"1,194.90","1,287.90","1,190.00","1,240.10",5.86,"65,708.00","82,468,074.10"
72,2025-10-13,"1,086.00","1,171.50","1,045.00","1,171.50",10.00,"42,584.00","48,362,451.40"
73,2025-10-12,"1,030.00","1,065.00","1,000.00","1,065.00",1.82,"18,821.00","19,394,617.40"
74,2025-10-09,"1,046.00","1,091.00","1,020.00","1,046.00",2.00,"14,148.00","14,725,014.10"
75,2025-10-08,"1,040.00","1,040.00","1,008.00","1,025.50",-1.39,"9,461.00","9,610,257.30"
76,2025-10-07,"1,064.00","1,066.00","1,025.00","1,040.00",-2.33,"8,295.00","8,635,499.40"
77,2025-09-28,"1,050.00","1,070.00","1,050.00","1,064.80",0.94,"3,809.00","4,027,547.70"
78,2025-09-25,"1,040.00","1,054.90","1,031.00","1,054.90",0.56,"7,416.00","7,763,545.90"
79,2025-09-24,"1,076.00","1,092.00","1,040.00","1,049.00",-2.33,"12,756.00","13,481,514.90"
80,2025-09-23,"1,070.00","1,080.10","1,026.10","1,074.00",2.34,"15,933.00","16,770,350.30"
81,2025-09-21,985.20,"1,055.70",985.20,"1,049.41",4.39,"16,736.00","17,132,044.80"
82,2025-09-18,"1,094.60","1,094.60","1,005.30","1,005.30",-9.99,"3,065.00","3,093,504.50"
83,2025-09-08,"1,145.00","1,149.50","1,112.30","1,116.91",-3.20,"11,607.00","13,024,104.60"
84,2025-09-07,"1,150.00","1,165.00","1,147.10","1,153.89",-0.24,"4,706.00","5,429,453.30"
85,2025-09-04,"1,165.10","1,174.90","1,150.10","1,156.68",-0.91,"9,300.00","10,759,558.70"
86,2025-09-03,"1,162.10","1,198.90","1,162.10","1,167.34",-0.90,"10,653.00","12,495,631.90"
87,2025-09-02,"1,182.00","1,192.00","1,175.10","1,177.96",-0.79,"5,182.00","6,131,761.00"
88,2025-09-01,"1,221.40","1,221.40","1,173.20","1,187.38",-0.84,"9,608.00","11,412,494.60"
89,2025-08-31,"1,208.00","1,225.00","1,177.20","1,197.49",-2.81,"18,560.00","22,234,096.20"
90,2025-08-28,"1,281.00","1,285.00","1,230.00","1,232.08",-3.59,"14,883.00","18,677,240.50"
91,2025-08-27,"1,190.00","1,305.00","1,180.00","1,277.93",7.60,"26,389.00","33,209,397.00"
92,2025-08-26,"1,170.00","1,194.90","1,170.00","1,187.70",0.21,"8,867.00","10,503,934.70"
93,2025-08-25,"1,165.00","1,195.00","1,165.00","1,185.26",0.29,"10,299.00","12,161,092.70"
94,2025-08-24,"1,220.10","1,225.90","1,166.00","1,181.83",-3.14,"18,081.00","21,543,679.70"
95,2025-08-21,"1,234.00","1,250.00","1,217.50","1,220.10",-2.34,"14,443.00","17,753,413.40"
96,2025-08-20,"1,251.00","1,273.00","1,245.00","1,249.29",-1.24,"9,875.00","12,390,662.30"
97,2025-08-19,"1,252.00","1,274.00","1,252.00","1,264.94",1.11,"9,164.00","11,597,747.50"
98,2025-08-18,"1,265.00","1,268.00","1,250.00","1,251.11",-0.31,"8,489.00","10,649,445.30"
99,2025-08-17,"1,297.30","1,309.00","1,251.10","1,255.03",-3.25,"14,711.00","18,731,028.40"
100,2025-08-14,"1,311.00","1,320.00","1,292.60","1,297.20",-1.12,"14,136.00","18,416,217.30"
101,2025-08-13,"1,310.00","1,330.10","1,308.10","1,311.88",-0.43,"12,069.00","15,856,821.10"
102,2025-08-12,"1,330.00","1,340.00","1,316.00","1,317.49",-0.93,"6,454.00","8,535,760.80"
103,2025-08-11,"1,338.00","1,350.00","1,328.90","1,329.84",-0.62,"14,077.00","18,812,713.70"
104,2025-08-07,"1,335.00","1,355.00","1,335.00","1,338.13",0.18,"14,195.00","19,028,615.90"
105,2025-08-06,"1,331.00","1,355.00","1,331.00","1,335.74",-0.34,"16,516.00","22,108,468.60"
106,2025-08-05,"1,354.53","1,357.00","1,337.10","1,340.36",-1.05,"12,967.00","17,469,999.90"
107,2025-08-04,"1,350.00","1,370.00","1,342.20","1,354.53",-0.17,"15,798.00","21,378,029.90"
108,2025-08-03,"1,363.00","1,380.00","1,355.00","1,356.80",-1.81,"19,200.00","26,185,701.00"
109,2025-07-31,"1,400.00","1,400.00","1,378.00","1,381.81",-1.35,"19,022.00","26,354,121.00"
110,2025-07-30,"1,434.00","1,434.00","1,400.00","1,400.68",-2.12,"11,440.00","16,145,920.60"
111,2025-07-29,"1,405.00","1,443.00","1,405.00","1,431.08",1.50,"18,436.00","26,413,312.30"
112,2025-07-28,"1,402.00","1,418.00","1,390.00","1,409.92",-0.37,"18,705.00","26,205,955.10"
113,2025-07-27,"1,445.00","1,468.00","1,405.10","1,415.10",-1.74,"25,899.00","37,230,326.20"
114,2025-07-24,"1,469.00","1,481.00","1,433.00","1,440.16",-0.91,"23,055.00","33,301,509.60"
115,2025-07-23,"1,487.00","1,499.00","1,440.00","1,453.43",-2.87,"26,998.00","39,451,678.10"
116,2025-07-22,"1,471.00","1,501.00","1,471.00","1,496.37",1.06,"19,699.00","29,427,030.00"
117,2025-07-21,"1,475.00","1,485.00","1,440.00","1,480.65",0.47,"27,858.00","40,831,889.40"
118,2025-07-20,"1,420.00","1,505.00","1,400.00","1,473.71",5.30,"58,359.00","85,248,078.60"
119,2025-07-17,"1,364.00","1,420.00","1,364.00","1,399.53",2.58,"18,342.00","25,674,150.30"
120,2025-07-16,"1,367.00","1,390.00","1,355.40","1,364.36",0.31,"17,440.00","23,970,479.80"
121,2025-07-15,"1,360.00","1,364.00","1,341.10","1,360.17",0.66,"14,569.00","19,670,674.70"
122,2025-07-14,"1,356.00","1,383.00","1,350.00","1,351.29",-1.07,"10,654.00","14,459,483.40"
123,2025-07-13,"1,404.40","1,430.00","1,365.00","1,365.88",-0.80,"12,068.00","16,696,607.60"
124,2025-07-10,"1,426.80","1,426.80","1,375.00","1,376.89",-1.57,"22,397.00","31,117,323.40"
125,2025-07-09,"1,385.10","1,440.00","1,385.10","1,398.90",-0.95,"17,381.00","24,359,650.40"
126,2025-07-08,"1,387.00","1,430.00","1,387.00","1,412.30",0.73,"11,625.00","16,410,616.90"
127,2025-07-07,"1,369.00","1,450.00","1,353.10","1,402.02",3.59,"43,660.00","61,551,649.50"
128,2025-07-06,"1,345.00","1,375.00","1,344.00","1,353.38",0.13,"23,272.00","31,520,211.70"
129,2025-07-03,"1,362.00","1,393.50","1,349.00","1,351.66",-1.07,"21,303.00","29,021,076.40"
130,2025-07-02,"1,355.00","1,381.00","1,355.00","1,366.25",0.85,"12,158.00","16,620,833.80"
131,2025-07-01,"1,344.00","1,396.00","1,344.00","1,354.80",-0.37,"19,145.00","26,010,736.60"
132,2025-06-30,"1,391.00","1,392.90","1,352.00","1,359.86",-0.72,"11,719.00","15,964,237.00"
133,2025-06-29,"1,375.00","1,396.00","1,351.00","1,369.68",-2.01,"16,424.00","22,415,316.60"
134,2025-06-26,"1,482.70","1,482.70","1,391.60","1,397.79",-3.85,"23,027.00","32,653,376.30"
135,2025-06-25,"1,345.00","1,484.00","1,345.00","1,453.69",6.19,"33,763.00","48,684,853.70"
136,2025-06-24,"1,324.00","1,395.00","1,320.00","1,368.89",3.33,"25,663.00","35,116,730.20"
137,2025-06-23,"1,332.00","1,367.70","1,311.10","1,324.75",-0.91,"16,170.00","21,531,153.20"
138,2025-06-22,"1,373.50","1,400.00","1,330.00","1,336.95",-4.60,"26,507.00","36,078,479.80"
139,2025-06-19,"1,439.70","1,452.00","1,388.80","1,401.48",-2.65,"26,002.00","36,554,920.00"
140,2025-06-18,"1,445.00","1,473.00","1,417.00","1,439.70",-0.39,"23,828.00","34,310,322.40"
141,2025-06-17,"1,500.00","1,500.00","1,435.00","1,445.27",-3.21,"24,372.00","35,441,171.40"
142,2025-06-16,"1,500.00","1,541.00","1,488.00","1,493.14",-1.88,"24,121.00","36,296,257.00"
143,2025-06-15,"1,535.00","1,570.00","1,511.00","1,521.77",-0.88,"17,077.00","26,319,230.50"
144,2025-06-12,"1,560.00","1,587.00","1,531.00","1,535.22",-3.31,"29,931.00","46,287,655.30"
145,2025-06-11,"1,657.00","1,657.00","1,585.10","1,587.70",-2.32,"16,983.00","27,239,600.90"
146,2025-06-10,"1,640.00","1,662.00","1,600.00","1,625.46",0.69,"22,910.00","37,537,843.30"
147,2025-06-09,"1,579.10","1,641.10","1,521.00","1,614.25",2.23,"36,658.00","58,504,358.60"
148,2025-06-08,"1,685.00","1,693.00","1,563.10","1,579.00",-6.80,"55,475.00","89,406,912.10"
149,2025-06-05,"1,750.30","1,760.00","1,676.00","1,694.13",-3.21,"40,175.00","68,886,177.00"
150,2025-06-04,"1,750.00","1,764.00","1,716.00","1,750.30",1.43,"29,753.00","51,915,710.40"
151,2025-06-03,"1,690.00","1,764.60","1,680.00","1,725.62",2.05,"37,905.00","65,736,043.80"
152,2025-06-02,"1,705.00","1,749.00","1,657.00","1,690.88",-1.13,"71,911.00","120,892,775.80"
153,2025-05-28,"1,785.10","1,802.00","1,700.00","1,710.15",-5.10,"47,473.00","82,614,205.70"
154,2025-05-27,"1,800.00","1,830.00","1,798.00","1,802.05",-1.71,"36,957.00","66,932,613.30"
155,2025-05-26,"1,908.00","1,908.00","1,829.10","1,833.34",-2.00,"52,290.00","96,829,701.70"
156,2025-05-25,"1,875.00","1,902.00","1,828.00","1,870.84",-0.58,"28,325.00","52,699,637.70"
157,2025-05-22,"1,820.00","1,935.90","1,792.00","1,881.76",2.32,"75,386.00","139,675,765.20"
158,2025-05-21,"1,950.00","2,000.00","1,830.00","1,839.02",-3.89,"41,132.00","76,916,545.80"
159,2025-05-20,"1,878.00","1,928.70","1,830.10","1,913.50",-0.12,"56,183.00","105,624,846.20"
160,2025-05-19,"2,001.00","2,050.00","1,903.10","1,915.75",-4.39,"69,459.00","136,794,436.00"
161,2025-05-18,"2,108.20","2,108.20","1,999.00","2,003.72",-6.86,"78,228.00","159,444,229.40"
162,2025-05-15,"2,025.00","2,228.00","1,953.20","2,151.20",4.12,"88,593.00","185,884,964.40"
163,2025-05-14,"2,279.40","2,458.20","2,015.20","2,066.15",-7.55,"246,209.00","513,268,681.60"
164,2025-05-13,"2,072.30","2,234.80","2,072.30","2,234.80",10.00,"19,150.00","42,792,079.00"
165,2025-05-11,"1,820.40","2,031.70","1,820.40","2,031.70",10.00,"3,320.00","6,738,170.00"
166,2025-05-08,"1,678.90","1,847.00","1,678.90","1,847.00",10.00,"1,790.00","3,297,783.00"
167,2025-05-07,"1,526.00","1,679.10","1,526.00","1,679.10",10.00,"1,330.00","2,228,658.00"
168,2025-05-06,"1,415.50","1,526.50","1,415.50","1,526.50",9.99,950.00,"1,447,454.00"
169,2025-05-05,"1,239.30","1,387.80","1,239.30","1,387.80",9.99,870.00,"1,202,282.00"
170,2025-05-04,"1,169.90","1,261.70","1,169.90","1,261.70",10.00,"1,110.00","1,398,233.00"
171,2025-04-30,"1,061.30","1,147.00","1,061.30","1,147.00",9.99,810.00,"926,930.00"
172,2025-04-29,963.70,"1,042.80",963.70,"1,042.80",10.00,740.00,"769,676.00"
173,2025-04-28,873.70,948.00,873.70,948.00,9.99,480.00,"453,102.00"
174,2025-04-27,783.60,861.90,783.60,861.90,9.99,580.00,"496,797.00"
175,2025-04-24,704.30,783.60,704.30,783.60,9.99,440.00,"342,186.00"
176,2025-04-23,660.60,712.40,660.60,712.40,9.99,580.00,"410,367.00"
177,2025-04-22,579.70,647.70,579.70,647.70,9.98,440.00,"282,686.00"
178,2025-04-21,537.70,588.90,537.70,588.90,9.99,310.00,"180,066.00"
179,2025-04-20,496.50,535.40,496.50,535.40,9.98,440.00,"234,622.00"
180,2025-04-17,451.00,486.80,451.00,486.80,9.99,180.00,"86,023.00"
181,2025-04-16,410.00,442.60,410.00,442.60,9.99,240.00,"104,439.00"
182,2025-04-15,372.80,402.40,372.80,402.40,9.98,250.00,"99,571.00"
183,2025-04-13,335.20,365.90,335.20,365.90,9.98,180.00,"64,701.00"
184,2025-04-10,302.50,332.70,302.50,332.70,9.98,210.00,"68,364.00"
