S.N.,Date,Open,High,Low,Close,% Change,Qty,Turnover
136,2014-10-27,92.0,91.0,90.0,90.0,0.0,1008.0,90824.0
137,2014-11-04,90.0,89.0,89.0,89.0,0.0,500.0,44500.0
138,2014-11-05,89.0,91.0,90.0,91.0,0.0,1200.0,109000.0
139,2014-11-06,91.0,94.0,92.0,94.0,0.0,889.0,82721.0
140,2014-11-09,94.0,95.0,95.0,95.0,0.0,200.0,19000.0
141,2014-11-13,95.0,95.0,94.0,95.0,0.0,2794.0,263430.0
142,2014-12-10,95.0,94.0,86.0,86.0,0.0,7469.0,650130.0
143,2014-12-11,86.0,86.0,83.0,86.0,0.0,5273.0,443410.0
144,2014-12-14,86.0,89.0,87.0,89.0,0.0,9348.0,814614.0
145,2014-12-15,89.0,90.0,90.0,90.0,0.0,865.0,77850.0
146,2014-12-16,90.0,90.0,89.0,89.0,0.0,591.0,52718.0
147,2014-12-21,89.0,90.0,89.0,90.0,0.0,112.0,10020.0
148,2014-12-31,90.0,90.0,90.0,90.0,0.0,40.0,3600.0
149,2015-01-01,90.0,90.0,90.0,90.0,0.0,178.0,16020.0
150,2015-01-04,90.0,91.0,90.0,90.0,0.0,340.0,30640.0
151,2015-01-08,90.0,91.0,91.0,91.0,0.0,29.0,2639.0
152,2015-01-11,91.0,90.0,90.0,90.0,0.0,780.0,70200.0
153,2015-01-12,90.0,89.0,84.0,84.0,0.0,5122.0,434532.0
154,2015-01-13,84.0,83.0,83.0,83.0,0.0,2858.0,237214.0
155,2015-01-14,83.0,82.0,80.0,82.0,0.0,3500.0,284500.0
156,2015-01-18,82.0,86.0,83.0,85.0,0.0,7726.0,652370.0
157,2015-01-19,85.0,86.0,86.0,86.0,0.0,161.0,13846.0
158,2015-01-20,86.0,88.0,87.0,88.0,0.0,144.0,12580.0
159,2015-01-22,88.0,92.0,89.0,92.0,0.0,1190.0,106249.0
160,2015-01-25,92.0,99.0,93.0,99.0,0.0,8672.0,827397.0
161,2015-01-26,99.0,102.0,95.0,96.0,0.0,6172.0,610186.0
162,2015-01-27,96.0,95.0,94.0,94.0,0.0,4484.0,423596.0
163,2015-01-28,94.0,94.0,93.0,94.0,0.0,1000.0,93500.0
164,2015-01-29,94.0,97.0,93.0,96.0,0.0,4904.0,466384.0
165,2015-02-01,96.0,98.0,97.0,98.0,0.0,2719.0,265462.0
166,2015-02-02,98.0,107.0,97.0,107.0,0.0,15970.0,1591812.0
167,2015-02-03,107.0,117.0,107.0,110.0,0.0,11620.0,1288439.0
168,2015-02-04,110.0,110.0,108.0,108.0,0.0,203.0,22308.0
169,2015-02-05,108.0,106.0,103.0,103.0,0.0,1966.0,204914.0
170,2015-02-08,103.0,102.0,100.0,102.0,0.0,2386.0,242886.0
171,2015-02-09,102.0,104.0,102.0,102.0,0.0,4582.0,469102.0
172,2015-02-11,102.0,101.0,100.0,101.0,0.0,8627.0,871275.0
173,2015-02-12,101.0,102.0,101.0,102.0,0.0,753.0,76494.0
174,2015-02-15,102.0,112.0,104.0,110.0,0.0,12989.0,1391958.0
175,2015-02-16,110.0,110.0,107.0,109.0,0.0,4359.0,470802.0
176,2015-02-18,109.0,108.0,106.0,106.0,0.0,1476.0,158430.0
177,2015-02-22,106.0,104.0,100.0,100.0,0.0,2368.0,238004.0
178,2015-02-23,100.0,105.0,100.0,105.0,0.0,10361.0,1053592.0
179,2015-02-25,105.0,103.0,100.0,102.0,0.0,1936.0,196275.0
180,2015-02-26,102.0,104.0,101.0,104.0,0.0,3114.0,321909.0
181,2015-03-01,104.0,102.0,102.0,102.0,0.0,50.0,5100.0
182,2015-03-03,102.0,106.0,104.0,105.0,0.0,4929.0,516088.0
183,2015-03-04,105.0,112.0,105.0,106.0,0.0,8463.0,920459.0
184,2015-03-09,106.0,109.0,104.0,104.0,0.0,4689.0,499101.0
185,2015-03-10,104.0,106.0,103.0,103.0,0.0,4381.0,454286.0
186,2015-03-11,103.0,106.0,103.0,106.0,0.0,6441.0,673746.0
187,2015-03-12,106.0,106.0,104.0,106.0,0.0,1529.0,159074.0
188,2015-03-16,106.0,108.0,108.0,108.0,0.0,50.0,5400.0
189,2015-03-19,108.0,108.0,106.0,106.0,0.0,51.0,5466.0
190,2015-03-22,106.0,104.0,102.0,102.0,0.0,4664.0,477944.0
191,2015-03-23,102.0,103.0,102.0,103.0,0.0,1962.0,201724.0
192,2015-03-24,103.0,101.0,101.0,101.0,0.0,647.0,65347.0
193,2015-03-30,101.0,99.0,99.0,99.0,0.0,1000.0,99000.0
194,2015-03-31,99.0,101.0,100.0,101.0,0.0,3296.0,330272.0
195,2015-04-01,101.0,100.0,100.0,100.0,0.0,240.0,24000.0
196,2015-04-02,100.0,102.0,98.0,99.0,0.0,7863.0,774018.0
197,2015-04-05,99.0,98.0,97.0,98.0,0.0,2505.0,243670.0
198,2015-04-06,98.0,98.0,98.0,98.0,0.0,20.0,1960.0
199,2015-04-07,98.0,98.0,97.0,98.0,0.0,894.0,86966.0
