S.N.,Name of Company,Symbol,ISIN,ISIN Type
243,Sindhu Bikas Bank Limited Promoter share,SINDUP,NPE232A40002,Promoter Share
244,Soaltee Hotel Limited,SHL,NPE168A00002,Ordinary Share
245,Shree Ram Sugar Mills Limited,SRS,NPE187A00002,Ordinary Share
246,Srijana Finance Limited,SFFIL,NPE157A00005,Ordinary Share
247,Srijana Finance Limited Promoter Share,SFFILP,NPE157A40001,Promoter Share
248,Standard Chartered Bank Nepal Limited,SCB,NPE033A00008,Ordinary Share
249,Summit Laghubitta Bittiya Sanstha Limited,SMFDB,NPE099A00009,Ordinary Share
250,Summit Laghubitta Bittiya Sanstha Limited Promoter Share,SMFDBP,NPE099A40005,Promoter Share
251,Sunrise Bank Limited,SRBL,NPE014A00008,Ordinary Share
252,Sunrise Bank Limited Promoter Share,SRBLPO,NPE014A40004,Promoter Share
253,Surya Life Insurance Company Limited,SLICL,NPE215A00001,Ordinary Share
254,Surya Life Insurance Company Limited Promoter Share,SLICLP,NPE215A40007,Promoter Share
255,Suryodaya Laghubitta Bittiya Sanstha Limited,SLBS,NPE290A00004,Ordinary Share
256,Swabalamban Laghubitta Bittiya Sanstha Limited,SWBBL,NPE102A00001,Ordinary Share
257,Swabalamban Laghubitta Bittiya Sanstha Limited Promoter Share,SWBBLP,NPE102A40007,Promoter Share
258,Swadeshi Laghubitta Bittiya Sanstha Limited,SDESI,NPE301A00009,Ordinary Share
259,Swarojgar Laghubitta Bittiya Sanstha Limited,SLBBL,NPE098A00001,Ordinary Share
260,Swarojgar Laghubitta Bittiya Sanstha Limited Promoter Share,SLBBLP,NPE098A40007,Promoter Share
261,Synergy Finance Limited,SYFL,NPE116A00001,Ordinary Share
262,Synergy Finance Limited Promoter Share,SYFLPO,NPE116A40007,Promoter Share
263,Synergy Power Development Limited,SPDL,NPE296A00001,Ordinary Share
264,Taragaon Regency Hotel Limited,TRH,NPE169A00000,Ordinary Share
265,Tinau Development Bank Limited,TNBL,NPE105A00004,Ordinary Share
266,Tinau Development Bank Limited Promoter,TNBLPO,NPE105A40000,Promoter Share
267,Tourism Development Bank Limited,TDBL,NPE104A00007,Ordinary Share
268,Tourism Development Bank Limited Promoter Share,TDBLPO,NPE104A40003,Promoter Share
269,Unilever Nepal Limited,UNL,NPE188A00000,Ordinary Share
270,United Finance Limited,UFL,NPE164A00001,Ordinary Share
271,United Finance Limited Promoter Share,UFLPO,NPE164A40007,Promoter Share
272,United Insurance Company (Nepal) Limited,UIC,NPE216A00009,Ordinary Share
273,United Insurance Co. (Nepal) Ltd. Promoter Share,UICPO,NPE216A40005,Promoter Share
274,United Modi Hydropower Limited,UMHL,NPE299A00005,Ordinary Share
275,Vijaya Laghubitta Bittiya Sanstha Limited,VLBS,NPE265A00006,Ordinary Share
276,Western Development Bank Limited,WDBL,NPE108A00008,Ordinary Share
277,Western Development Bank Limited Promoter shares,WDBLPO,NPE108A40004,Promoter Share
278,Womi Laghubitta Bittiya Sanstha Limited,WOMI,NPE262A00003,Ordinary Share
279,Samriddhi Finance Company Limited (former World Merchant Banking),SFCL,NPE166A00006,Ordinary Share
280,Samriddhi Finance Company Limited Promoter Share,WMBFPO,NPE166A40002,Promoter Share
281,Aarambha Laghubitta Bittiya Sanstha Limited,AMFI,NPE312A00006,Ordinary Share
282,Aarambha Laghubitta Bittiya Sanstha Limited Promoter Share,AMFIPO,NPE312A0002,Promoter Share
283,Chhimek Laghubitta Bikas Bank Limited Promoter Share,CBBLPO,NPE046A40006,Promoter Share
284,Citizens Mutual Fund-1,CMF1,NPE313A35000,Mutual Fund
285,Himalayan Laghubitta Bittiya Sanstha Limited Promoter Share (Former Civil Laghubitta),HLBSLP,NPE267A40008,Promoter Share
286,Forward Microfinance Laghubitta Bittya Sanstha Limited Promoter,FOWADP,NPE297A40005,Promoter Share
287,Gaumukhee Bikas Bank Limited Promoter Share,GABLPO,NPE225A40006,Promoter Share
288,Global IME Laghubitta Bittiya Sanstha Limited,GILB,NPE270A00006,Ordinary Share
289,Global IME Laghubitta Bittiya Sanstha Limited Promoter Share,GILBPO,NPE270A40002,Promoter Share
290,Green Development Bank Ltd. Promoter Share,GRDBLP,NPE285A40000,Promoter Share
291,IME General Insurance Limited,IGIL,NPE205A00002,Ordinary Share
292,International Leasing & Finance Company Limited Promoter Share,ILFCPO,NPE130A40008,Promoter Share
293,Janautthan Samudayic Laghubitta Bikas Bank Limited Promoter Share,JSLBBP,NPE260A40003,Promoter Share
294,Womi Laghubitta Bittiya Sanstha Limited Promoter Share,WOMIPO,NPE262A40009,Promoter Share
295,Wean Nepal Laghubitta Bittiya Sanstha Limited,WNLB,NPE314A00002,Ordinary Share
296,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,USLB,NPE311A00008,Ordinary Share
297,Sunrise Bluechip Fund,SBCF,NPE351A35018,Mutual Fund
298,Sunrise First Mutual Fund,SFMF,NPE351A35000,Mutual Fund
299,Singati Hydro Energy Limited,SHEL,NPE375A00003,Ordinary Share
300,Hydroelectricity Investment and Development Company Limited Promoter Share,HIDCLP,NPE281A40009,Promoter Share
