Date,Headline,Logit,Prediction,Sentiment_Score
2024-04-10,Net Profit Status of Commercial and Development Banks Unveiled Till Falgun: NABIL Earned The Most,"[1.9860, -2.3505, -0.4859]",negative,-0.9111565947532654
2024-04-07,Empowering Financial Inclusion: ADBL Introduces Instant Digital Loans,"[1.1366, -2.5992, 1.3216]",positive,0.5402750968933105
2024-03-14,NRB Report Highlights Commercial and Development Banks' Net Profits up to Magh; NABIL Tops the Charts Once More,"[1.8617, -1.9828, -0.9187]",negative,-0.9230151176452637
2024-03-13,"Commercial Banks Alter Interest Rates for Chaitra: Majority Lower Rates, NIC Asia Bucks Trend with Increase","[0.7231, -0.6412, -0.2692]",negative,-0.6148954629898071
2024-02-29,"A Deep Dive into the Dynamic Link Between Commercial Banks' Latest Trading Prices and Net Worth Per Share, and More Insights Ahead","[-0.1849, -1.7994, 2.3427]",positive,0.9126232862472534
2024-02-20,Agricultural Development Bank Unveils Book Closure Date And Call 17th AGM,"[-1.5963, 0.3872, 2.2922]",positive,0.855211615562439
2024-02-12,"Commercial Banks Adjust Interest Rates for Falgun, Citizens Bank International Reduced The Most","[-0.3142, -1.2882, 2.0947]",positive,0.8897882699966431
2024-02-09,Agricultural Development Bank Decides Not To Distribute Dividend For FY 2079/80,"[-1.2418, -0.2170, 2.1487]",positive,0.8868597745895386
2024-01-22,Performance Analysis of A-Class Banks in Q2 2080/81: Key Financial Metrics and Insights,"[0.2193, -2.0562, 2.0821]",positive,0.8538366556167603
2024-01-21,"Q2 Reports Unveils Profit Declines for 16 Commercial Banks, Nabil Bank Leads Amidst Industry-wide Downturn","[-1.7786, 3.0007, -0.9278]",neutral,0.0
2024-01-16,NRB Reports Net Profits of Commercial and Development Banks Till Mangsir of FY 2080/81; NABIL Leading The Chart,"[0.5181, -2.2947, 1.8463]",positive,0.780721127986908
2024-01-14,"Commercial Banks Implement Single-Digit Interest Rates, Effective from Magh 01; PCBL Leads with Significant Reductions","[1.7345, -2.3130, -0.4812]",negative,-0.8876775503158569
2024-01-08,"NEPSE's Two-Month Rally Sees Index Surge from 1800 to 2000 Levels, Yet Banking Sector Faces Decline Amidst Overall Surge","[-1.3747, 2.7752, -1.1905]",neutral,0.0
2023-12-29,Investors Accuse Banks of Irresponsibility as AGMs Delayed: Regulatory Concerns Emerge,"[-1.7503, 2.5616, -0.0830]",neutral,0.0
2023-12-19,NRB Reveals Commercial and Development Banks' Net Profits Till Kartik FY 2080/81; NABIL Takes the Lead,"[-0.9126, -1.2255, 2.5666]",positive,0.9493253231048584
2023-12-17,Commercial Banks Implement Interest Rate Adjustments Following NRB Directive Effective From Today,"[-0.6422, -1.2625, 2.4323]",positive,0.9336536526679993
2023-11-24,A Comparative Deep Dive: Analyzing Financial Metrics Across Commercial Banks Through Q1 80/81,"[0.2026, -2.0498, 2.0094]",positive,0.8464274406433105
2023-11-20,"Commercial Banks Adjust Interest Rates for Mangsir, NIC Asia Reduced The Most","[-0.3681, -0.8324, 1.7291]",positive,0.8333346247673035
2023-11-03,"Net Profit Status of 1st Quarter of Commercial Banks: NIMB Earned The Most, 12 Banks Reported Declined In Profit Led by ADBL","[-1.7587, 3.0453, -1.0413]",neutral,0.0
2023-10-17,Commercial Banks Revise Interest Rates for Kartik: Notable Changes and Four Banks Maintain Stability,"[0.6438, -2.1072, 1.5930]",positive,0.7083250284194946
2023-10-17,22.5 MW Thulo Khola Hydro at Myagdi completes financial closure; 3 banks under Citizens Bank to make loan investment,"[-0.9439, -0.2664, 1.6844]",positive,0.8234754204750061
2023-10-02,"Reserve Requirements, RRR, CRR, and SLR; Significance in the Nepal's Banking Sector","[0.5606, -2.4679, 1.9136]",positive,0.786785900592804
2023-09-26,Banks and Finance Companies Report Impressive Profits Till Shrawan of 2080/81 While Few Companies Face Losses,"[1.8799, -1.6531, -1.3412]",negative,-0.9353452324867249
2023-09-18,"Commercial Banks in Ashwin Unveil Interest Rate Adjustments, PCBL Tops FD Rates, SCB Cuts Amidst Stability","[0.3011, -0.4183, -0.3922]",negative,-0.503275454044342
2023-09-11,Commercial Banks; Too Pricey on your Pockets? See Latest PE Ratio of 'A' Class Banks,"[-0.8313, -0.5394, 2.1766]",positive,0.8964285254478455
2023-08-08,Comparative Analysis: Unraveling Financial Indicators Among Commercial Banks,"[0.1626, -1.6627, 1.8351]",positive,0.8209987282752991
2023-08-07,"Ashad 2080 Snapshot: Nepal's Commercial Banks Display Diverse Base and Spread Rates, RBB Leads with Lowest Base Rate","[0.6048, -1.8229, 0.8353]",positive,0.536411464214325
2023-08-06,Comparative Analysis: Unraveling Net Profit and Distributable Profit Per Share Among Commercial Banks,"[-0.3472, -1.0686, 1.7957]",positive,0.8515399098396301
2023-08-05,Agricultural Development Bank Makes Public Q4 Report With Rs. 3 Arba in Net Profits; EPS at Rs. 20.62,"[-0.8607, -0.6969, 2.1549]",positive,0.903540849685669
2023-07-16,Commercial Banks Revise Interest Rates For Shrawan After Interest Rate Cartelisation Ends,"[-1.0238, -0.3976, 2.2939]",positive,0.9057844281196594
2023-06-27,11.5 Percent Stocks Hovering Around 52-Week High; 5.7% Scrips Near 52-Week Low,"[-0.3977, 0.5420, -0.2518]",neutral,0.0
2023-06-15,Commercial Banks Update Interest Rates For The Month of Ashad; SCB Reduces Its Fixed Deposit Rates,"[-1.4121, 1.6143, 0.1090]",neutral,0.0
2023-06-01,ICRA Nepal Limited assigns ratings of Agriculture  Development Bank and its Rs 1.68 arba worth debenture at ICRANP-IR A and ICRANP LA,"[-0.2325, -1.9065, 2.3605]",positive,0.9184278845787048
2023-05-21,Agricultural Development Bank Distributed 2% Bonus Shares to Demat Accounts of Shareholders,"[-0.3765, -1.8363, 2.4893]",positive,0.934436559677124
2023-05-15,"Bonus Shares of ADBL, STC, SMFBS and MMFDB Listed in NEPSE","[-0.8905, -1.3608, 2.6774]",positive,0.9561643600463867
2023-04-30,"CBFIN Determined to Use Legal Authority for Protection and Right of Depositors, Borrowers & Stakeholders of  BFIs","[0.0904, -2.2569, 2.3105]",positive,0.8936737179756165
2023-04-27,Evolution of Non-Performing Loans  (NPL) in Nepal; Addressing the Current Situation of Growing NPL,"[1.3631, -2.5164, 0.8094]",negative,-0.6267785429954529
2023-04-21,NRB Takes Action Against These 8 Commercial Banks for Violating NRB Guidelines,"[-1.5276, 1.2982, 1.0412]",neutral,0.0
2023-04-20,Comparative Analysis of Third Quarter Reports of 21 Commercial Banks; Industry Accumulates An Average Profit of 2.32 Arba In Q3,"[-0.4709, -0.8945, 1.9133]",positive,0.8676824569702148
2023-04-20,Agricultural Development Bank Distributed Cash Dividends Directly to Shareholders' Bank Accounts,"[-1.0300, -1.0464, 2.6184]",positive,0.9508964419364929
2023-04-16,Agriculture Development Bank signs Remittance agreement with Nepal Remit International; to make remittance flow easier and more convenient,"[2.0129, -2.4205, -0.8591]",negative,-0.9359255433082581
2023-03-23,Commercial Banks Are Approaching Their 52-Weeks Low Price; What Does this Mean for Investors In BFI-Dominated Market?,"[-1.8113, 2.4452, 0.1114]",neutral,0.0
2023-03-13,Reminder! Last Day To Grab Dividends Proposed by Swarojgar Laghubitta and Agricultural Development Bank,"[0.4411, -1.7812, 1.5727]",positive,0.7366626858711243
2023-03-03,"Agricultural Development Bank (ADBL) Calls AGM on 14th Chaitra, When's the Book Closure for 13% Dividend?","[-1.0316, -0.7720, 2.4614]",positive,0.9347242712974548
2023-01-27,Interest Amount of Rs. 13.33 Arba Is Yet To Be Received by Commercial Banks; A Second Quarter Comprehensive Analysis of Major Indicators for all 22 Commercial Banks,"[-0.2713, -1.7417, 2.2284]",positive,0.9082821607589722
2023-01-22,"ADB should focus on agriculture, says DPM Poudel","[1.0674, -2.4656, 1.1452]",positive,0.5122433304786682
2023-01-12,Committee of Nepal Bankers Association has Decided to Decrease Fixed Deposits Interest Rates For the Month of Magh,"[-1.6253, 1.6517, 1.0677]",neutral,0.0
2023-01-10,Stock Market Trend Analysis; Which Sector Has Gained the Highest in Last  100 Days?,"[1.1249, -2.4707, 0.9948]",negative,-0.5248199105262756
2023-01-10,"Agricultural Development Bank Announces 13% Dividend for FY 2078/79, 6% Cash Dividend Proposed for Preference Shareholders Too","[0.1436, -1.9604, 1.9510]",positive,0.8445298075675964
2022-12-13,Commercial Banks Decides to Maintain the Same Deposit Interest Rate During the Month of Poush as Well,"[-1.1437, -0.7393, 2.5295]",positive,0.9403403401374817
2022-11-28,"Due to Higher Spread Rates, NIC Asia Bank is Most Affected by the First Quarter Monetary Policy; What is the Status of Other BFI's?","[-1.6177, 0.9473, 1.6959]",positive,0.6625049114227295
2022-11-15,Interest Rates of Commercial banks to Remain Unchanged for the Month of Mangsir,"[-0.9152, -0.6239, 2.0772]",positive,0.895020067691803
2022-10-31,Profitability Figures of Commercial Banks Painted a Greener Picture in First Quarter; A Summarized Snapshot of the  Important Fundamentals of all 26 Banks Individually,"[1.4208, -2.1751, 0.3338]",negative,-0.7327772378921509
2022-10-19,The Base Rate of Banks Have Increased in Recent Month; Check Out the Current Base Rates of 26 Commercial Banks of Nepal,"[0.8248, -2.3710, 1.4065]",positive,0.632178008556366
2022-10-17,Interest Rates of Banks and Financial Institutions Remains Unchanged for Kartik,"[-0.8909, -0.7762, 2.0150]",positive,0.8960236310958862
2022-10-13,Committee of Nepal Bankers Association has Determined that Raising Kartik's Interest Rates is not Reasonable,"[-0.7428, -0.5434, 1.9886]",positive,0.8736424446105957
2022-09-23,Prisoner’s Dilemma: In Present Context With Increment of Interest Rates by Financial Institutions,"[-0.5058, -0.7348, 2.0871]",positive,0.8816006183624268
2022-09-21,Most Banks Alter Their Interest Rates; Individuals Deposit Interest Rates Increased By 3 Digits After the Decimal Point,"[-0.0395, -1.4909, 1.7865]",positive,0.8341813683509827
2022-08-23,What Does the Future Hold For  ATMs in Nepal as the Country Quickly Transitions to a Cashless Economy?,"[-1.3133, 0.7402, 1.4207]",positive,0.6363986134529114
2022-08-21,4% Agricultural Bond Now Listed in NEPSE,"[-0.6111, -1.3456, 2.5555]",positive,0.9412940144538879
2022-08-07,Amid Liquidity Crunch And Low Credit Expansion Commercial Banks Reports Satisfactory Profit Growth In FY 78/79; A Summarised Snapshot of the Most Important Fundamentals,"[1.8279, -1.7699, -1.3564]",negative,-0.9356353282928467
2022-08-04,Fall in Net Profit of Agricultural Development Bank in Q4 by 23.74%; Distributable Profit Stands at Rs 3.90 Arba,"[-1.8036, 3.0102, -0.9190]",neutral,0.0
2022-08-03,"NRB Has Amended and Added Various Facilities To the 'A', 'B' and 'C' Category Banks and Financial Institutions; List of Major Highlights of NRB Circular","[-0.1559, -1.9928, 2.2680]",positive,0.9068723320960999
2022-06-12,Commercial Banks Have Agreed Not To Raise Interest Rates On Deposits,"[-0.8178, -0.7668, 2.1981]",positive,0.9086237549781799
